BASIN NAME,FORMATION,LAT,LONG
Georgina,LONGSIGHT SANDSTONE,-24.3568,140.001
Georgina,LONGSIGHT SANDSTONE,-24.4445,139.3463
Georgina,LONGSIGHT SANDSTONE,-22.9627,140.5167
Georgina,LONGSIGHT SANDSTONE,-23.1558,140.2358
Georgina,HOORAY SANDSTONE,-25.5324,138.9879
Georgina,LONGSIGHT SANDSTONE,-23.9763,140.3678
Georgina,LONGSIGHT SANDSTONE,-24.086,139.3478
Georgina,LONGSIGHT SANDSTONE,-23.8459,138.9872
Georgina,LONGSIGHT SANDSTONE,-23.5626,139.8279
Georgina,LONGSIGHT SANDSTONE,-24.2853,138.9512
Georgina,LONGSIGHT SANDSTONE,-24.1997,139.4559
Diamantina,HOORAY SANDSTONE,-22.4516,143.2674
Diamantina,HUTTON SANDSTONE,-21.9697,142.7231
Diamantina,LONGSIGHT SANDSTONE,-24.6034,139.8136
Diamantina,HOORAY SANDSTONE,-25.8966,139.3519
Diamantina,LONGSIGHT SANDSTONE,-23.1883,140.548
Diamantina,HOORAY SANDSTONE,-25.239,139.5619
Diamantina,HOORAY SANDSTONE,-23.5476,141.3678
Diamantina,,-24.7927,140.2829
Diamantina,LONGSIGHT SANDSTONE,-23.6564,140.8496
Diamantina,HOORAY SANDSTONE,-24.4585,141.39
Diamantina,HUTTON SANDSTONE,-22.3077,142.9003
Coopers Creek,RONLOW BEDS,-23.1063,145.4706
Coopers Creek,PRECIPICE SANDSTONE,-24.1787,145.2853
Coopers Creek,HOORAY SANDSTONE,-24.5756,145.9665
Coopers Creek,HUTTON SANDSTONE,-23.0551,144.699
Coopers Creek,HUTTON SANDSTONE,-24.557,146.4451
Coopers Creek,HOORAY SANDSTONE,-24.8328,146.3132
Coopers Creek,HOORAY SANDSTONE,-23.7492,145.2322
Coopers Creek,BOXVALE SANDSTONE MEMBER,-24.4681,145.6142
Coopers Creek,HUTTON SANDSTONE,-24.5195,146.4725
Coopers Creek,RONLOW BEDS,-22.176,145.2324
Coopers Creek,RONLOW BEDS,-22.8142,145.3636
Coopers Creek,HOORAY SANDSTONE,-27.7189,142.5649
Coopers Creek,HOORAY SANDSTONE,-24.7171,145.1839
Coopers Creek,ADORI SANDSTONE,-24.5407,146.2727
Coopers Creek,HOORAY SANDSTONE,-24.5319,145.3664
Coopers Creek,HUTTON SANDSTONE,-24.7902,145.5445
Coopers Creek,HOORAY SANDSTONE,-22.3992,144.8622
Coopers Creek,HUTTON SANDSTONE,-22.8913,145.043
Coopers Creek,ADORI SANDSTONE,-25.2165,143.5414
Coopers Creek,HOORAY SANDSTONE,-24.0172,144.6526
Coopers Creek,HOORAY SANDSTONE,-26.6694,143.2727
Coopers Creek,HUTTON SANDSTONE,-24.5196,146.4724
Coopers Creek,,-24.0786,143.7283
Coopers Creek,HUTTON SANDSTONE,-23.0931,145.3894
Coopers Creek,HUTTON SANDSTONE,-21.6218,144.1784
Coopers Creek,HUTTON SANDSTONE,-21.7335,144.2071
Coopers Creek,HUTTON SANDSTONE,-21.8851,144.3567
Coopers Creek,RONLOW BEDS,-22.2656,145.1312
Coopers Creek,HUTTON SANDSTONE,-23.3419,144.729
Coopers Creek,PRECIPICE SANDSTONE,-24.5265,145.8946
Coopers Creek,HUTTON SANDSTONE,-24.0405,145.3702
Coopers Creek,HUTTON SANDSTONE,-24.557,146.4451
Coopers Creek,RONLOW BEDS,-23.4127,145.4793
Coopers Creek,HOORAY SANDSTONE,-24.8819,145.549
Coopers Creek,RONLOW BEDS,-21.9778,145.2153
Coopers Creek,HUTTON SANDSTONE,-24.2874,145.1192
Bulloo,HOORAY SANDSTONE,-27.9054,143.323
Bulloo,HOORAY SANDSTONE,-28.8491,144.7619
Bulloo,HOORAY SANDSTONE,-26.9224,144.5376
Bulloo,WYANDRA SANDSTONE MEMBER,-28.6813,143.9382
Bulloo,HOORAY SANDSTONE,-28.3068,143.9152
Normanby,HODGKINSON FORMATION,-15.8644,144.8322
Normanby,HODGKINSON FORMATION,-15.8655,144.8059
Normanby,MCLEAN BASALT,-15.8523,144.8552
Normanby,MCLEAN BASALT,-15.9126,144.8496
Normanby,MCLEAN BASALT,-15.8335,144.8365
Normanby,HODGKINSON FORMATION,-15.8031,144.7226
Normanby,MCLEAN BASALT,-15.8114,144.8501
Jeannie,,-15.1186,145.0769
Endeavour,PIEBALD BASALT,-15.3964,145.0393
Endeavour,PIEBALD BASALT,-15.297,145.0775
Endeavour,HODGKINSON FORMATION,-15.4294,145.1119
Endeavour,HODGKINSON FORMATION,-15.442,145.1252
Daintree,,-16.347,145.4096
Daintree,,-16.4295,145.4046
Daintree,,-16.3907,145.3952
Daintree,,-16.3908,145.3768
Daintree,,-16.4162,145.3851
Daintree,,-16.4037,145.3773
Daintree,,-16.3801,145.3738
Daintree,,-16.3714,145.3798
Daintree,,-16.4201,145.4076
Daintree,,-16.4201,145.4076
Daintree,,-16.3714,145.3798
Daintree,,-16.3748,145.366
Daintree,,-16.3801,145.3738
Mossman,HODGKINSON FORMATION,-16.7556,145.6622
