BASIN,SUBBASIN,BASIN NAME,SUBBASIN NAME,SITE NO,SALTWATER INTRUSION,WL FREQUENCY,PERIOD (YEARS),WQ,WQ Frequency,TEL,FORMATION,LAT,LONG
1,11,Georgina,Eyre Creek,146680A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-24.3568,140.0010
1,11,Georgina,Eyre Creek,93361A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-24.4445,139.3463
1,11,Georgina,Eyre Creek,51642A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-22.9627,140.5167
1,11,Georgina,Eyre Creek,13829A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-23.1558,140.2358
1,11,Georgina,Eyre Creek,13088A,No,1,3,Yes,,,HOORAY SANDSTONE,-25.5324,138.9879
1,11,Georgina,Eyre Creek,13173A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-23.9763,140.3678
1,11,Georgina,Eyre Creek,118689A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-24.0860,139.3478
1,11,Georgina,Eyre Creek,4321A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-23.8459,138.9872
1,11,Georgina,Eyre Creek,146077A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-23.5626,139.8279
1,11,Georgina,Eyre Creek,4323A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-24.2853,138.9512
1,11,Georgina,Eyre Creek,12040A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-24.1997,139.4559
2,21,Diamantina,Diamantina River,93327A,No,1,3,Yes,,,HOORAY SANDSTONE,-22.4516,143.2674
2,21,Diamantina,Diamantina River,146229A,No,1,3,Yes,,,HUTTON SANDSTONE,-21.9697,142.7231
2,21,Diamantina,Diamantina River,12165A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-24.6034,139.8136
2,21,Diamantina,Diamantina River,14645A,No,1,3,Yes,,,HOORAY SANDSTONE,-25.8966,139.3519
2,21,Diamantina,Diamantina River,5102A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-23.1883,140.5480
2,21,Diamantina,Diamantina River,12177A,No,1,3,Yes,,,HOORAY SANDSTONE,-25.2390,139.5619
2,21,Diamantina,Diamantina River,10644A,No,1,3,Yes,,,HOORAY SANDSTONE,-23.5476,141.3678
2,21,Diamantina,Diamantina River,12312A,No,1,3,Yes,,,,-24.7927,140.2829
2,21,Diamantina,Diamantina River,5101A,No,1,3,Yes,,,LONGSIGHT SANDSTONE,-23.6564,140.8496
2,21,Diamantina,Diamantina River,14486A,No,1,3,Yes,,,HOORAY SANDSTONE,-24.4585,141.3900
2,21,Diamantina,Diamantina River,93015A,No,1,3,Yes,,,HUTTON SANDSTONE,-22.3077,142.9003
3,32,Coopers Creek,Thompson River,13443A,No,1,3,Yes,,,RONLOW BEDS,-23.1063,145.4706
3,33,Coopers Creek,Barcoo River,51385A,No,1,3,Yes,,,PRECIPICE SANDSTONE,-24.1787,145.2853
3,33,Coopers Creek,Barcoo River,13794A,No,0,0,Yes,,,HOORAY SANDSTONE,-24.5756,145.9665
3,32,Coopers Creek,Thompson River,11369A,No,1,3,Yes,,,HUTTON SANDSTONE,-23.0551,144.6990
3,33,Coopers Creek,Barcoo River,330004A,No,2,1,,,Yes,HUTTON SANDSTONE,-24.5570,146.4451
3,33,Coopers Creek,Barcoo River,330007A,No,2,1,,,Yes,HOORAY SANDSTONE,-24.8328,146.3132
3,33,Coopers Creek,Barcoo River,146325A,No,1,3,Yes,,,HOORAY SANDSTONE,-23.7492,145.2322
3,33,Coopers Creek,Barcoo River,94A,No,1,3,Yes,,,BOXVALE SANDSTONE MEMBER,-24.4681,145.6142
3,33,Coopers Creek,Barcoo River,330009A,No,4,1,,,,HUTTON SANDSTONE,-24.5195,146.4725
3,32,Coopers Creek,Thompson River,16588A,No,1,3,Yes,,,RONLOW BEDS,-22.1760,145.2324
3,32,Coopers Creek,Thompson River,69871A,No,1,3,Yes,,,RONLOW BEDS,-22.8142,145.3636
3,31,Coopers Creek,Cooper Creek,23569A,No,1,3,Yes,,,HOORAY SANDSTONE,-27.7189,142.5649
3,33,Coopers Creek,Barcoo River,146324A,No,1,3,Yes,,,HOORAY SANDSTONE,-24.7171,145.1839
3,33,Coopers Creek,Barcoo River,330011A,No,2,1,,,,ADORI SANDSTONE,-24.5407,146.2727
3,33,Coopers Creek,Barcoo River,11346A,No,1,3,Yes,,,HOORAY SANDSTONE,-24.5319,145.3664
3,33,Coopers Creek,Barcoo River,16056A,No,1,3,Yes,,,HUTTON SANDSTONE,-24.7902,145.5445
3,32,Coopers Creek,Thompson River,146646A,No,1,3,Yes,,,HOORAY SANDSTONE,-22.3992,144.8622
3,32,Coopers Creek,Thompson River,118665A,No,1,3,Yes,,,HUTTON SANDSTONE,-22.8913,145.0430
3,33,Coopers Creek,Barcoo River,23093A,No,1,3,Yes,,,ADORI SANDSTONE,-25.2165,143.5414
3,33,Coopers Creek,Barcoo River,146210A,No,1,3,Yes,,,HOORAY SANDSTONE,-24.0172,144.6526
3,31,Coopers Creek,Cooper Creek,358A,No,1,3,Yes,,,HOORAY SANDSTONE,-26.6694,143.2727
3,33,Coopers Creek,Barcoo River,330008A,No,4,1,,,,HUTTON SANDSTONE,-24.5196,146.4724
3,32,Coopers Creek,Thompson River,69543A,No,1,3,Yes,,,,-24.0786,143.7283
3,32,Coopers Creek,Thompson River,118658A,No,1,3,Yes,,,HUTTON SANDSTONE,-23.0931,145.3894
3,32,Coopers Creek,Thompson River,118052A,No,1,3,Yes,,,HUTTON SANDSTONE,-21.6218,144.1784
